BMI,BMI_Class
24.915315920606925,Gezond gewicht
23.56663223140496,Gezond gewicht
25.218606946081522,Overgewicht
21.967857555786793,Gezond gewicht
22.714681440443215,Gezond gewicht
24.43018604526296,Gezond gewicht
24.915315920606925,Gezond gewicht
20.65754000210077,Gezond gewicht
26.080246913580247,Overgewicht
17.856517628934565,Ondergewicht
28.692652849424622,Overgewicht
24.755464315903875,Gezond gewicht
20.202020202020204,Gezond gewicht
21.461936624163616,Gezond gewicht
21.329639889196677,Gezond gewicht
18.339100346020764,Ondergewicht
30.456059975010415,Obesitas
23.661438615467823,Gezond gewicht
23.120623596247853,Gezond gewicht
22.694018931589476,Gezond gewicht
24.807434006743236,Gezond gewicht
0,Data ontbreekt
26.038781163434905,Overgewicht
24.691358024691358,Gezond gewicht
22.22222222222222,Gezond gewicht
24.83576349943919,Gezond gewicht
24.4140625,Gezond gewicht
19.53542321662953,Gezond gewicht
21.461936624163616,Gezond gewicht
24.0569347455645,Gezond gewicht
28.06642386982525,Overgewicht
20.303697560696612,Gezond gewicht
22.408786769347305,Gezond gewicht
22.052190183434128,Gezond gewicht
19.834710743801654,Gezond gewicht
22.408786769347305,Gezond gewicht
21.453287197231838,Gezond gewicht
24.212293388429753,Gezond gewicht
25.1823814901865,Overgewicht
20.244897959183675,Gezond gewicht
25.737081414967538,Overgewicht
20.58966513197403,Gezond gewicht
23.413111342351716,Gezond gewicht
26.234567901234566,Overgewicht
22.77318640955005,Gezond gewicht
22.282592106468055,Gezond gewicht
19.37919743392696,Gezond gewicht
24.879178701135288,Gezond gewicht
29.365763350250564,Overgewicht
32.14024835646457,Obesitas
24.280263614290668,Gezond gewicht
23.84803048162057,Gezond gewicht
19.05197378448407,Gezond gewicht
20.91070815517618,Gezond gewicht
21.453287197231838,Gezond gewicht
24.615210502489816,Gezond gewicht
27.16644791062544,Overgewicht
22.22222222222222,Gezond gewicht
22.955684331345708,Gezond gewicht
24.622960911049557,Gezond gewicht
22.64086462471699,Gezond gewicht
24.212293388429753,Gezond gewicht
23.120623596247853,Gezond gewicht
23.888440980620498,Gezond gewicht
25.50361570247934,Overgewicht
32.21175729141137,Obesitas
17.17532038578412,Ondergewicht
22.321428571428577,Gezond gewicht
22.068809416025353,Gezond gewicht
21.79930795847751,Gezond gewicht
23.795359904818564,Gezond gewicht
0,Data ontbreekt
26.812218711098343,Overgewicht
23.507805325987146,Gezond gewicht
22.86236854138088,Gezond gewicht
23.888440980620498,Gezond gewicht
24.736530186296992,Gezond gewicht
20.97117202268431,Gezond gewicht
29.012345679012345,Overgewicht
18.77834467120182,Ondergewicht
23.148148148148145,Gezond gewicht
22.136739730004358,Gezond gewicht
24.968009737523797,Gezond gewicht
23.054562464499313,Gezond gewicht
23.12406058503873,Gezond gewicht
26.555965935105768,Overgewicht
